[train-0/1000] [acc-0.5579, loss-0.0759] [2478/4442]
[val-0/1000] [acc-0.7410, loss-0.0409] [1087/1467]
[train-1/1000] [acc-0.8476, loss-0.0258] [3765/4442]
[val-1/1000] [acc-0.8214, loss-0.0328] [1205/1467]
[train-2/1000] [acc-0.9262, loss-0.0134] [4114/4442]
[val-2/1000] [acc-0.8303, loss-0.0323] [1218/1467]
[train-3/1000] [acc-0.9570, loss-0.0078] [4251/4442]
[val-3/1000] [acc-0.8412, loss-0.0336] [1234/1467]
[train-4/1000] [acc-0.9752, loss-0.0051] [4332/4442]
[val-4/1000] [acc-0.8234, loss-0.0411] [1208/1467]
[train-5/1000] [acc-0.9800, loss-0.0042] [4353/4442]
[val-5/1000] [acc-0.8282, loss-0.0405] [1215/1467]
[train-6/1000] [acc-0.9811, loss-0.0035] [4358/4442]
[val-6/1000] [acc-0.8487, loss-0.0402] [1245/1467]
[train-7/1000] [acc-0.9901, loss-0.0022] [4398/4442]
[val-7/1000] [acc-0.8500, loss-0.0429] [1247/1467]
[train-8/1000] [acc-0.9928, loss-0.0015] [4410/4442]
[val-8/1000] [acc-0.8528, loss-0.0409] [1251/1467]
[train-9/1000] [acc-0.9955, loss-0.0008] [4422/4442]
[val-9/1000] [acc-0.8466, loss-0.0419] [1242/1467]
[train-10/1000] [acc-0.9975, loss-0.0006] [4431/4442]
[val-10/1000] [acc-0.8528, loss-0.0428] [1251/1467]
[train-11/1000] [acc-0.9980, loss-0.0006] [4433/4442]
[val-11/1000] [acc-0.8528, loss-0.0416] [1251/1467]
[train-12/1000] [acc-0.9977, loss-0.0007] [4432/4442]
[val-12/1000] [acc-0.8521, loss-0.0409] [1250/1467]
[train-13/1000] [acc-0.9973, loss-0.0005] [4430/4442]
[val-13/1000] [acc-0.8466, loss-0.0407] [1242/1467]
[train-14/1000] [acc-0.9975, loss-0.0006] [4431/4442]
[val-14/1000] [acc-0.8514, loss-0.0411] [1249/1467]
[train-15/1000] [acc-0.9984, loss-0.0005] [4435/4442]
[val-15/1000] [acc-0.8487, loss-0.0416] [1245/1467]
[train-16/1000] [acc-0.9984, loss-0.0006] [4435/4442]
[val-16/1000] [acc-0.8555, loss-0.0413] [1255/1467]
[train-17/1000] [acc-0.9975, loss-0.0006] [4431/4442]
[val-17/1000] [acc-0.8548, loss-0.0405] [1254/1467]
[train-18/1000] [acc-0.9977, loss-0.0005] [4432/4442]
[val-18/1000] [acc-0.8534, loss-0.0407] [1252/1467]
[train-19/1000] [acc-0.9984, loss-0.0005] [4435/4442]
[val-19/1000] [acc-0.8541, loss-0.0414] [1253/1467]
[train-20/1000] [acc-0.9977, loss-0.0005] [4432/4442]
[val-20/1000] [acc-0.8548, loss-0.0406] [1254/1467]
[train-21/1000] [acc-0.9977, loss-0.0006] [4432/4442]
[val-21/1000] [acc-0.8528, loss-0.0415] [1251/1467]
[train-22/1000] [acc-0.9973, loss-0.0006] [4430/4442]
[val-22/1000] [acc-0.8494, loss-0.0414] [1246/1467]
[train-23/1000] [acc-0.9989, loss-0.0004] [4437/4442]
[val-23/1000] [acc-0.8521, loss-0.0412] [1250/1467]
[train-24/1000] [acc-0.9982, loss-0.0005] [4434/4442]
[val-24/1000] [acc-0.8514, loss-0.0424] [1249/1467]
[train-25/1000] [acc-0.9975, loss-0.0006] [4431/4442]
[val-25/1000] [acc-0.8534, loss-0.0407] [1252/1467]
[train-26/1000] [acc-0.9986, loss-0.0004] [4436/4442]
[val-26/1000] [acc-0.8534, loss-0.0413] [1252/1467]
[train-27/1000] [acc-0.9980, loss-0.0005] [4433/4442]
[val-27/1000] [acc-0.8487, loss-0.0411] [1245/1467]
[train-28/1000] [acc-0.9991, loss-0.0004] [4438/4442]
[val-28/1000] [acc-0.8514, loss-0.0419] [1249/1467]
[train-29/1000] [acc-0.9991, loss-0.0004] [4438/4442]
[val-29/1000] [acc-0.8528, loss-0.0407] [1251/1467]
[train-30/1000] [acc-0.9977, loss-0.0006] [4432/4442]
[val-30/1000] [acc-0.8514, loss-0.0423] [1249/1467]
[train-31/1000] [acc-0.9977, loss-0.0005] [4432/4442]
[val-31/1000] [acc-0.8500, loss-0.0425] [1247/1467]
[train-32/1000] [acc-0.9975, loss-0.0005] [4431/4442]
[val-32/1000] [acc-0.8494, loss-0.0422] [1246/1467]
[train-33/1000] [acc-0.9980, loss-0.0005] [4433/4442]
[val-33/1000] [acc-0.8548, loss-0.0404] [1254/1467]
[train-34/1000] [acc-0.9984, loss-0.0004] [4435/4442]
[val-34/1000] [acc-0.8521, loss-0.0417] [1250/1467]
[train-35/1000] [acc-0.9982, loss-0.0005] [4434/4442]
[val-35/1000] [acc-0.8521, loss-0.0410] [1250/1467]
[train-36/1000] [acc-0.9982, loss-0.0006] [4434/4442]
[val-36/1000] [acc-0.8500, loss-0.0429] [1247/1467]
[train-37/1000] [acc-0.9993, loss-0.0004] [4439/4442]
[val-37/1000] [acc-0.8528, loss-0.0407] [1251/1467]
[train-38/1000] [acc-0.9986, loss-0.0004] [4436/4442]
[val-38/1000] [acc-0.8514, loss-0.0423] [1249/1467]
[train-39/1000] [acc-0.9964, loss-0.0006] [4426/4442]
[val-39/1000] [acc-0.8528, loss-0.0403] [1251/1467]
[train-40/1000] [acc-0.9980, loss-0.0005] [4433/4442]
[val-40/1000] [acc-0.8494, loss-0.0419] [1246/1467]
[train-41/1000] [acc-0.9989, loss-0.0004] [4437/4442]
[val-41/1000] [acc-0.8507, loss-0.0410] [1248/1467]
[train-42/1000] [acc-0.9989, loss-0.0004] [4437/4442]
[val-42/1000] [acc-0.8521, loss-0.0421] [1250/1467]
[train-43/1000] [acc-0.9993, loss-0.0004] [4439/4442]
[val-43/1000] [acc-0.8534, loss-0.0403] [1252/1467]
[train-44/1000] [acc-0.9971, loss-0.0006] [4429/4442]
[val-44/1000] [acc-0.8548, loss-0.0410] [1254/1467]
[train-45/1000] [acc-0.9980, loss-0.0006] [4433/4442]
[val-45/1000] [acc-0.8528, loss-0.0408] [1251/1467]
[train-46/1000] [acc-0.9975, loss-0.0005] [4431/4442]
[val-46/1000] [acc-0.8500, loss-0.0408] [1247/1467]
[train-47/1000] [acc-0.9984, loss-0.0004] [4435/4442]
[val-47/1000] [acc-0.8521, loss-0.0404] [1250/1467]
[train-48/1000] [acc-0.9984, loss-0.0005] [4435/4442]
[val-48/1000] [acc-0.8548, loss-0.0412] [1254/1467]
[train-49/1000] [acc-0.9984, loss-0.0004] [4435/4442]
[val-49/1000] [acc-0.8500, loss-0.0407] [1247/1467]
[train-50/1000] [acc-0.9975, loss-0.0006] [4431/4442]
[val-50/1000] [acc-0.8534, loss-0.0411] [1252/1467]
[train-51/1000] [acc-0.9982, loss-0.0006] [4434/4442]
[val-51/1000] [acc-0.8507, loss-0.0412] [1248/1467]
