[val-e-41/150] [val_acc-0.6680 val_loss-1.4940] [4585/6864]
[train-e-42/150] [train_acc-0.9961 train_loss-1.3092] [20675/20756] 
[val-e-42/150] [val_acc-0.6680 val_loss-1.4940] [4585/6864]
[train-e-43/150] [train_acc-0.9961 train_loss-0.5298] [20675/20756] 
[val-e-43/150] [val_acc-0.6677 val_loss-1.4940] [4583/6864]
[train-e-44/150] [train_acc-0.9958 train_loss-0.3275] [20669/20756] 
[val-e-44/150] [val_acc-0.6677 val_loss-1.4940] [4583/6864]
[train-e-45/150] [train_acc-0.9947 train_loss-1.2117] [20647/20756] 
[val-e-45/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-46/150] [train_acc-0.9959 train_loss-0.5932] [20671/20756] 
[val-e-46/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-47/150] [train_acc-0.9958 train_loss-0.3545] [20668/20756] 
[val-e-47/150] [val_acc-0.6675 val_loss-1.4941] [4582/6864]
[train-e-48/150] [train_acc-0.9962 train_loss-0.7418] [20677/20756] 
[val-e-48/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-49/150] [train_acc-0.9960 train_loss-0.6197] [20674/20756] 
[val-e-49/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-50/150] [train_acc-0.9960 train_loss-0.8302] [20673/20756] 
[val-e-50/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-51/150] [train_acc-0.9950 train_loss-0.7534] [20653/20756] 
[val-e-51/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-52/150] [train_acc-0.9950 train_loss-0.2612] [20652/20756] 
[val-e-52/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-53/150] [train_acc-0.9953 train_loss-0.0496] [20658/20756] 
[val-e-53/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-54/150] [train_acc-0.9960 train_loss-0.7148] [20673/20756] 
[val-e-54/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-55/150] [train_acc-0.9957 train_loss-0.2980] [20666/20756] 
[val-e-55/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-56/150] [train_acc-0.9959 train_loss-0.9380] [20671/20756] 
[val-e-56/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-57/150] [train_acc-0.9957 train_loss-0.0745] [20666/20756] 
[val-e-57/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-58/150] [train_acc-0.9953 train_loss-0.5966] [20659/20756] 
[val-e-58/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-59/150] [train_acc-0.9966 train_loss-0.2253] [20686/20756] 
[val-e-59/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-60/150] [train_acc-0.9960 train_loss-0.4920] [20674/20756] 
[val-e-60/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-61/150] [train_acc-0.9959 train_loss-0.6185] [20670/20756] 
[val-e-61/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-62/150] [train_acc-0.9957 train_loss-0.5781] [20666/20756] 
[val-e-62/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-63/150] [train_acc-0.9954 train_loss-0.2287] [20661/20756] 
[val-e-63/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-64/150] [train_acc-0.9956 train_loss-0.7570] [20665/20756] 
[val-e-64/150] [val_acc-0.6677 val_loss-1.4940] [4583/6864]
[train-e-65/150] [train_acc-0.9959 train_loss-0.3772] [20671/20756] 
[val-e-65/150] [val_acc-0.6677 val_loss-1.4940] [4583/6864]
[train-e-66/150] [train_acc-0.9954 train_loss-1.1234] [20660/20756] 
[val-e-66/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-67/150] [train_acc-0.9956 train_loss-0.4274] [20665/20756] 
[val-e-67/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-68/150] [train_acc-0.9959 train_loss-0.3799] [20670/20756] 
[val-e-68/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-69/150] [train_acc-0.9960 train_loss-0.4389] [20672/20756] 
[val-e-69/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-70/150] [train_acc-0.9956 train_loss-0.0324] [20665/20756] 
[val-e-70/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-71/150] [train_acc-0.9957 train_loss-1.0590] [20667/20756] 
[val-e-71/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-72/150] [train_acc-0.9967 train_loss-1.0362] [20687/20756] 
[val-e-72/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-73/150] [train_acc-0.9957 train_loss-0.8539] [20667/20756] 
[val-e-73/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-74/150] [train_acc-0.9955 train_loss-0.7318] [20662/20756] 
[val-e-74/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-75/150] [train_acc-0.9959 train_loss-0.4367] [20671/20756] 
[val-e-75/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-76/150] [train_acc-0.9958 train_loss-0.8571] [20668/20756] 
[val-e-76/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-77/150] [train_acc-0.9960 train_loss-0.8501] [20674/20756] 
[val-e-77/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-78/150] [train_acc-0.9959 train_loss-0.4995] [20670/20756] 
[val-e-78/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-79/150] [train_acc-0.9954 train_loss-0.9260] [20661/20756] 
[val-e-79/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-80/150] [train_acc-0.9954 train_loss-0.0492] [20661/20756] 
[val-e-80/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-81/150] [train_acc-0.9961 train_loss-0.4318] [20675/20756] 
[val-e-81/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-82/150] [train_acc-0.9965 train_loss-0.0930] [20684/20756] 
[val-e-82/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-83/150] [train_acc-0.9956 train_loss-0.6140] [20664/20756] 
[val-e-83/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-84/150] [train_acc-0.9953 train_loss-1.1405] [20658/20756] 
[val-e-84/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-85/150] [train_acc-0.9962 train_loss-0.6514] [20677/20756] 
[val-e-85/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-86/150] [train_acc-0.9958 train_loss-0.3618] [20669/20756] 
[val-e-86/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-87/150] [train_acc-0.9959 train_loss-0.2754] [20671/20756] 
[val-e-87/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-88/150] [train_acc-0.9954 train_loss-0.2977] [20661/20756] 
[val-e-88/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-89/150] [train_acc-0.9961 train_loss-0.5279] [20676/20756] 
[val-e-89/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-90/150] [train_acc-0.9955 train_loss-0.5309] [20663/20756] 
[val-e-90/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-91/150] [train_acc-0.9960 train_loss-0.8108] [20674/20756] 
[val-e-91/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-92/150] [train_acc-0.9955 train_loss-0.8181] [20663/20756] 
[val-e-92/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-93/150] [train_acc-0.9957 train_loss-0.6653] [20667/20756] 
[val-e-93/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-94/150] [train_acc-0.9959 train_loss-0.5457] [20671/20756] 
[val-e-94/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-95/150] [train_acc-0.9963 train_loss-1.3591] [20679/20756] 
[val-e-95/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-96/150] [train_acc-0.9953 train_loss-0.6317] [20658/20756] 
[val-e-96/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-97/150] [train_acc-0.9961 train_loss-0.0588] [20675/20756] 
[val-e-97/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-98/150] [train_acc-0.9959 train_loss-0.1432] [20670/20756] 
[val-e-98/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-99/150] [train_acc-0.9958 train_loss-0.2642] [20669/20756] 
[val-e-99/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-100/150] [train_acc-0.9955 train_loss-0.2213] [20662/20756] 
[val-e-100/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-101/150] [train_acc-0.9949 train_loss-0.4896] [20651/20756] 
[val-e-101/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-102/150] [train_acc-0.9954 train_loss-0.4100] [20660/20756] 
[val-e-102/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
