[val-e-41/150] [val_acc-0.5184 val_loss-1.6375] [3558/6864]
[train-e-42/150] [train_acc-0.9937 train_loss-0.7219] [20626/20756] 
[val-e-42/150] [val_acc-0.5178 val_loss-1.6369] [3554/6864]
[train-e-43/150] [train_acc-0.9955 train_loss-0.5907] [20663/20756] 
[val-e-43/150] [val_acc-0.4958 val_loss-1.6547] [3403/6864]
[train-e-44/150] [train_acc-0.9972 train_loss-0.5437] [20697/20756] 
[val-e-44/150] [val_acc-0.5302 val_loss-1.6274] [3639/6864]
[train-e-45/150] [train_acc-0.9982 train_loss-0.1949] [20719/20756] 
[val-e-45/150] [val_acc-0.5131 val_loss-1.6461] [3522/6864]
[train-e-46/150] [train_acc-0.9979 train_loss-0.0707] [20713/20756] 
[val-e-46/150] [val_acc-0.5224 val_loss-1.6360] [3586/6864]
[train-e-47/150] [train_acc-0.9991 train_loss-0.0311] [20737/20756] 
[val-e-47/150] [val_acc-0.5337 val_loss-1.6260] [3663/6864]
[train-e-48/150] [train_acc-0.9988 train_loss-0.1202] [20731/20756] 
[val-e-48/150] [val_acc-0.5318 val_loss-1.6247] [3650/6864]
[train-e-49/150] [train_acc-0.9993 train_loss-0.4717] [20741/20756] 
[val-e-49/150] [val_acc-0.5095 val_loss-1.6491] [3497/6864]
[train-e-50/150] [train_acc-0.9977 train_loss-0.3084] [20708/20756] 
[val-e-50/150] [val_acc-0.5128 val_loss-1.6423] [3520/6864]
[train-e-51/150] [train_acc-0.9961 train_loss-0.2381] [20675/20756] 
[val-e-51/150] [val_acc-0.5255 val_loss-1.6300] [3607/6864]
[train-e-52/150] [train_acc-0.9977 train_loss-0.0291] [20708/20756] 
[val-e-52/150] [val_acc-0.5133 val_loss-1.6413] [3523/6864]
[train-e-53/150] [train_acc-0.9984 train_loss-0.4080] [20722/20756] 
[val-e-53/150] [val_acc-0.5216 val_loss-1.6332] [3580/6864]
[train-e-54/150] [train_acc-0.9985 train_loss-0.2128] [20725/20756] 
[val-e-54/150] [val_acc-0.5082 val_loss-1.6488] [3488/6864]
[train-e-55/150] [train_acc-0.9983 train_loss-0.1264] [20720/20756] 
[val-e-55/150] [val_acc-0.5253 val_loss-1.6343] [3606/6864]
[train-e-56/150] [train_acc-0.9971 train_loss-0.6912] [20695/20756] 
[val-e-56/150] [val_acc-0.5106 val_loss-1.6430] [3505/6864]
[train-e-57/150] [train_acc-0.9913 train_loss-0.6738] [20575/20756] 
[val-e-57/150] [val_acc-0.5237 val_loss-1.6338] [3595/6864]
[train-e-58/150] [train_acc-0.9950 train_loss-1.2728] [20653/20756] 
[val-e-58/150] [val_acc-0.4838 val_loss-1.6731] [3321/6864]
[train-e-59/150] [train_acc-0.9964 train_loss-1.0266] [20681/20756] 
[val-e-59/150] [val_acc-0.5082 val_loss-1.6488] [3488/6864]
