[train-48/1000] [acc-0.9982, loss-0.0003] [4434/4442]
[val-48/1000] [acc-0.8453, loss-0.0488] [1240/1467]
[train-49/1000] [acc-0.9989, loss-0.0003] [4437/4442]
[val-49/1000] [acc-0.8562, loss-0.0489] [1256/1467]
[train-50/1000] [acc-0.9991, loss-0.0004] [4438/4442]
[val-50/1000] [acc-0.8603, loss-0.0465] [1262/1467]
[train-51/1000] [acc-0.9991, loss-0.0004] [4438/4442]
[val-51/1000] [acc-0.8473, loss-0.0459] [1243/1467]
[train-52/1000] [acc-0.9995, loss-0.0003] [4440/4442]
[val-52/1000] [acc-0.8521, loss-0.0492] [1250/1467]
[train-53/1000] [acc-0.9966, loss-0.0005] [4427/4442]
[val-53/1000] [acc-0.8623, loss-0.0456] [1265/1467]
[train-54/1000] [acc-0.9984, loss-0.0004] [4435/4442]
[val-54/1000] [acc-0.8548, loss-0.0448] [1254/1467]
[train-55/1000] [acc-0.9980, loss-0.0005] [4433/4442]
[val-55/1000] [acc-0.8623, loss-0.0469] [1265/1467]
[train-56/1000] [acc-0.9975, loss-0.0004] [4431/4442]
[val-56/1000] [acc-0.8534, loss-0.0457] [1252/1467]
[train-57/1000] [acc-0.9977, loss-0.0004] [4432/4442]
[val-57/1000] [acc-0.8500, loss-0.0480] [1247/1467]
[train-58/1000] [acc-0.9971, loss-0.0005] [4429/4442]
[val-58/1000] [acc-0.8637, loss-0.0458] [1267/1467]
[train-59/1000] [acc-0.9993, loss-0.0003] [4439/4442]
[val-59/1000] [acc-0.8575, loss-0.0470] [1258/1467]
[train-60/1000] [acc-0.9989, loss-0.0003] [4437/4442]
[val-60/1000] [acc-0.8521, loss-0.0471] [1250/1467]
[train-61/1000] [acc-0.9980, loss-0.0004] [4433/4442]
[val-61/1000] [acc-0.8548, loss-0.0475] [1254/1467]
[train-62/1000] [acc-0.9989, loss-0.0004] [4437/4442]
[val-62/1000] [acc-0.8466, loss-0.0491] [1242/1467]
[train-63/1000] [acc-0.9980, loss-0.0005] [4433/4442]
[val-63/1000] [acc-0.8555, loss-0.0479] [1255/1467]
[train-64/1000] [acc-0.9989, loss-0.0004] [4437/4442]
[val-64/1000] [acc-0.8562, loss-0.0470] [1256/1467]
[train-65/1000] [acc-0.9993, loss-0.0004] [4439/4442]
[val-65/1000] [acc-0.8432, loss-0.0486] [1237/1467]
[train-66/1000] [acc-0.9977, loss-0.0004] [4432/4442]
[val-66/1000] [acc-0.8589, loss-0.0505] [1260/1467]
[train-67/1000] [acc-0.9982, loss-0.0005] [4434/4442]
[val-67/1000] [acc-0.8596, loss-0.0482] [1261/1467]
[train-68/1000] [acc-0.9993, loss-0.0003] [4439/4442]
[val-68/1000] [acc-0.8623, loss-0.0471] [1265/1467]
[train-69/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-69/1000] [acc-0.8569, loss-0.0475] [1257/1467]
[train-70/1000] [acc-0.9980, loss-0.0005] [4433/4442]
[val-70/1000] [acc-0.8589, loss-0.0477] [1260/1467]
[train-71/1000] [acc-0.9991, loss-0.0003] [4438/4442]
[val-71/1000] [acc-0.8637, loss-0.0436] [1267/1467]
[train-72/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-72/1000] [acc-0.8555, loss-0.0460] [1255/1467]
[train-73/1000] [acc-0.9991, loss-0.0003] [4438/4442]
[val-73/1000] [acc-0.8521, loss-0.0462] [1250/1467]
[train-74/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-74/1000] [acc-0.8473, loss-0.0474] [1243/1467]
[train-75/1000] [acc-0.9991, loss-0.0003] [4438/4442]
[val-75/1000] [acc-0.8446, loss-0.0502] [1239/1467]
[train-76/1000] [acc-0.9995, loss-0.0003] [4440/4442]
[val-76/1000] [acc-0.8609, loss-0.0482] [1263/1467]
[train-77/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-77/1000] [acc-0.8534, loss-0.0480] [1252/1467]
[train-78/1000] [acc-0.9980, loss-0.0004] [4433/4442]
[val-78/1000] [acc-0.8514, loss-0.0459] [1249/1467]
[train-79/1000] [acc-0.9984, loss-0.0005] [4435/4442]
[val-79/1000] [acc-0.8555, loss-0.0464] [1255/1467]
[train-80/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-80/1000] [acc-0.8459, loss-0.0479] [1241/1467]
[train-81/1000] [acc-0.9986, loss-0.0004] [4436/4442]
[val-81/1000] [acc-0.8534, loss-0.0460] [1252/1467]
[train-82/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-82/1000] [acc-0.8562, loss-0.0450] [1256/1467]
[train-83/1000] [acc-0.9986, loss-0.0003] [4436/4442]
[val-83/1000] [acc-0.8616, loss-0.0472] [1264/1467]
[train-84/1000] [acc-0.9977, loss-0.0005] [4432/4442]
[val-84/1000] [acc-0.8555, loss-0.0468] [1255/1467]
[train-85/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-85/1000] [acc-0.8507, loss-0.0471] [1248/1467]
[train-86/1000] [acc-0.9984, loss-0.0003] [4435/4442]
[val-86/1000] [acc-0.8575, loss-0.0472] [1258/1467]
[train-87/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-87/1000] [acc-0.8562, loss-0.0480] [1256/1467]
[train-88/1000] [acc-0.9986, loss-0.0003] [4436/4442]
[val-88/1000] [acc-0.8589, loss-0.0458] [1260/1467]
[train-89/1000] [acc-0.9991, loss-0.0003] [4438/4442]
[val-89/1000] [acc-0.8596, loss-0.0487] [1261/1467]
[train-90/1000] [acc-0.9984, loss-0.0005] [4435/4442]
