[train-0/1000] [acc-0.4416, loss-2.0034] [889/2013]
[val-0/1000] [acc-0.6272, loss-1.1082] [419/668]
[train-1/1000] [acc-0.7392, loss-0.7855] [1488/2013]
[val-1/1000] [acc-0.7710, loss-0.6265] [515/668]
[train-2/1000] [acc-0.8852, loss-0.3277] [1782/2013]
[val-2/1000] [acc-0.7754, loss-0.6909] [518/668]
[train-3/1000] [acc-0.9155, loss-0.2388] [1843/2013]
[val-3/1000] [acc-0.7904, loss-0.8115] [528/668]
[train-4/1000] [acc-0.9444, loss-0.1702] [1901/2013]
[val-4/1000] [acc-0.7844, loss-0.8804] [524/668]
[train-5/1000] [acc-0.9617, loss-0.1056] [1936/2013]
[val-5/1000] [acc-0.7949, loss-0.9370] [531/668]
[train-6/1000] [acc-0.9767, loss-0.0728] [1966/2013]
[val-6/1000] [acc-0.8084, loss-0.8933] [540/668]
[train-7/1000] [acc-0.9891, loss-0.0453] [1991/2013]
[val-7/1000] [acc-0.8338, loss-0.8008] [557/668]
[train-8/1000] [acc-0.9960, loss-0.0166] [2005/2013]
[val-8/1000] [acc-0.8293, loss-0.8328] [554/668]
[train-9/1000] [acc-0.9975, loss-0.0129] [2008/2013]
[val-9/1000] [acc-0.8278, loss-0.8181] [553/668]
[train-10/1000] [acc-0.9965, loss-0.0133] [2006/2013]
[val-10/1000] [acc-0.8308, loss-0.8132] [555/668]
[train-11/1000] [acc-0.9990, loss-0.0071] [2011/2013]
[val-11/1000] [acc-0.8338, loss-0.8106] [557/668]
[train-12/1000] [acc-0.9970, loss-0.0143] [2007/2013]
[val-12/1000] [acc-0.8249, loss-0.8312] [551/668]
[train-13/1000] [acc-0.9980, loss-0.0091] [2009/2013]
[val-13/1000] [acc-0.8263, loss-0.8243] [552/668]
[train-14/1000] [acc-0.9985, loss-0.0111] [2010/2013]
[val-14/1000] [acc-0.8278, loss-0.8526] [553/668]
[train-15/1000] [acc-0.9965, loss-0.0092] [2006/2013]
[val-15/1000] [acc-0.8368, loss-0.8408] [559/668]
[train-16/1000] [acc-0.9975, loss-0.0111] [2008/2013]
[val-16/1000] [acc-0.8219, loss-0.8137] [549/668]
[train-17/1000] [acc-0.9985, loss-0.0077] [2010/2013]
[val-17/1000] [acc-0.8308, loss-0.8102] [555/668]
[train-18/1000] [acc-0.9980, loss-0.0067] [2009/2013]
[val-18/1000] [acc-0.8249, loss-0.8383] [551/668]
[train-19/1000] [acc-0.9970, loss-0.0120] [2007/2013]
[val-19/1000] [acc-0.8234, loss-0.8332] [550/668]
[train-20/1000] [acc-0.9965, loss-0.0103] [2006/2013]
[val-20/1000] [acc-0.8278, loss-0.8504] [553/668]
[train-21/1000] [acc-0.9975, loss-0.0098] [2008/2013]
[val-21/1000] [acc-0.8293, loss-0.8221] [554/668]
[train-22/1000] [acc-0.9960, loss-0.0121] [2005/2013]
[val-22/1000] [acc-0.8323, loss-0.8148] [556/668]
[train-23/1000] [acc-0.9980, loss-0.0093] [2009/2013]
[val-23/1000] [acc-0.8308, loss-0.8360] [555/668]
[train-24/1000] [acc-0.9990, loss-0.0089] [2011/2013]
