[rgb_acc-0.3706, flow_acc-0.3913]
[train-26/150] [acc-0.4421, loss-0.0505] [cor/total-557/1260]
[v:rgb_acc-0.4190, flow_acc-0.3714]
[val-26/150] [acc-0.4857, loss-0.0528] [cor/total-204/420]
[rgb_acc-0.3984, flow_acc-0.3849]
[train-27/150] [acc-0.4802, loss-0.0500] [cor/total-605/1260]
[v:rgb_acc-0.4000, flow_acc-0.3738]
[val-27/150] [acc-0.4524, loss-0.0530] [cor/total-190/420]
[rgb_acc-0.3841, flow_acc-0.3825]
[train-28/150] [acc-0.4532, loss-0.0501] [cor/total-571/1260]
[v:rgb_acc-0.4429, flow_acc-0.3786]
[val-28/150] [acc-0.4762, loss-0.0526] [cor/total-200/420]
[rgb_acc-0.4008, flow_acc-0.4119]
[train-29/150] [acc-0.4746, loss-0.0495] [cor/total-598/1260]
[v:rgb_acc-0.4071, flow_acc-0.3786]
[val-29/150] [acc-0.4643, loss-0.0526] [cor/total-195/420]
[rgb_acc-0.3762, flow_acc-0.3944]
[train-30/150] [acc-0.4484, loss-0.0500] [cor/total-565/1260]
[v:rgb_acc-0.4381, flow_acc-0.3952]
[val-30/150] [acc-0.4762, loss-0.0525] [cor/total-200/420]
[rgb_acc-0.3849, flow_acc-0.3786]
[train-31/150] [acc-0.4524, loss-0.0502] [cor/total-570/1260]
[v:rgb_acc-0.4190, flow_acc-0.3929]
[val-31/150] [acc-0.4857, loss-0.0525] [cor/total-204/420]
[rgb_acc-0.3897, flow_acc-0.3794]
[train-32/150] [acc-0.4492, loss-0.0499] [cor/total-566/1260]
[v:rgb_acc-0.4190, flow_acc-0.4024]
[val-32/150] [acc-0.4714, loss-0.0528] [cor/total-198/420]
[rgb_acc-0.3944, flow_acc-0.3849]
[train-33/150] [acc-0.4595, loss-0.0494] [cor/total-579/1260]
[v:rgb_acc-0.4048, flow_acc-0.3714]
[val-33/150] [acc-0.4738, loss-0.0527] [cor/total-199/420]
[rgb_acc-0.3849, flow_acc-0.3984]
[train-34/150] [acc-0.4444, loss-0.0498] [cor/total-560/1260]
[v:rgb_acc-0.4333, flow_acc-0.3810]
[val-34/150] [acc-0.4690, loss-0.0520] [cor/total-197/420]
[rgb_acc-0.3627, flow_acc-0.3865]
[train-35/150] [acc-0.4357, loss-0.0498] [cor/total-549/1260]
[v:rgb_acc-0.4190, flow_acc-0.3571]
[val-35/150] [acc-0.4595, loss-0.0528] [cor/total-193/420]
[rgb_acc-0.3960, flow_acc-0.3889]
[train-36/150] [acc-0.4524, loss-0.0489] [cor/total-570/1260]
[v:rgb_acc-0.4310, flow_acc-0.3762]
[val-36/150] [acc-0.4762, loss-0.0521] [cor/total-200/420]
[rgb_acc-0.3770, flow_acc-0.3857]
[train-37/150] [acc-0.4508, loss-0.0499] [cor/total-568/1260]
[v:rgb_acc-0.4286, flow_acc-0.3786]
[val-37/150] [acc-0.4595, loss-0.0525] [cor/total-193/420]
[rgb_acc-0.3929, flow_acc-0.3762]
[train-38/150] [acc-0.4524, loss-0.0506] [cor/total-570/1260]
[v:rgb_acc-0.4095, flow_acc-0.3619]
[val-38/150] [acc-0.4667, loss-0.0527] [cor/total-196/420]
[rgb_acc-0.3921, flow_acc-0.3905]
[train-39/150] [acc-0.4698, loss-0.0490] [cor/total-592/1260]
[v:rgb_acc-0.4167, flow_acc-0.4119]
[val-39/150] [acc-0.4833, loss-0.0528] [cor/total-203/420]
[rgb_acc-0.3817, flow_acc-0.3968]
[train-40/150] [acc-0.4540, loss-0.0491] [cor/total-572/1260]
[v:rgb_acc-0.4071, flow_acc-0.3905]
[val-40/150] [acc-0.4738, loss-0.0522] [cor/total-199/420]
[rgb_acc-0.3992, flow_acc-0.4032]
[train-41/150] [acc-0.4611, loss-0.0493] [cor/total-581/1260]
[v:rgb_acc-0.4405, flow_acc-0.3714]
[val-41/150] [acc-0.4857, loss-0.0526] [cor/total-204/420]
[rgb_acc-0.3810, flow_acc-0.4079]
[train-42/150] [acc-0.4563, loss-0.0497] [cor/total-575/1260]
[v:rgb_acc-0.4119, flow_acc-0.3714]
[val-42/150] [acc-0.4738, loss-0.0531] [cor/total-199/420]
[rgb_acc-0.4167, flow_acc-0.3929]
[train-43/150] [acc-0.4841, loss-0.0491] [cor/total-610/1260]
[v:rgb_acc-0.4167, flow_acc-0.3762]
[val-43/150] [acc-0.4690, loss-0.0527] [cor/total-197/420]
[rgb_acc-0.4000, flow_acc-0.3881]
[train-44/150] [acc-0.4659, loss-0.0496] [cor/total-587/1260]
[v:rgb_acc-0.4262, flow_acc-0.4167]
[val-44/150] [acc-0.5119, loss-0.0521] [cor/total-215/420]
[rgb_acc-0.3968, flow_acc-0.3913]
[train-45/150] [acc-0.4627, loss-0.0497] [cor/total-583/1260]
[v:rgb_acc-0.3952, flow_acc-0.4071]
[val-45/150] [acc-0.4881, loss-0.0527] [cor/total-205/420]
[rgb_acc-0.3849, flow_acc-0.3825]
[train-46/150] [acc-0.4627, loss-0.0494] [cor/total-583/1260]
[v:rgb_acc-0.4214, flow_acc-0.3786]
[val-46/150] [acc-0.4667, loss-0.0526] [cor/total-196/420]
[rgb_acc-0.3770, flow_acc-0.3873]
[train-47/150] [acc-0.4492, loss-0.0501] [cor/total-566/1260]
[v:rgb_acc-0.4095, flow_acc-0.3714]
[val-47/150] [acc-0.4643, loss-0.0523] [cor/total-195/420]
[rgb_acc-0.3873, flow_acc-0.3952]
