[train-48/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-48/1000] [acc-0.8344, loss-0.0515] [1224/1467]
[train-49/1000] [acc-0.9989, loss-0.0002] [4437/4442]
[val-49/1000] [acc-0.8378, loss-0.0517] [1229/1467]
[train-50/1000] [acc-1.0000, loss-0.0001] [4442/4442]
[val-50/1000] [acc-0.8371, loss-0.0545] [1228/1467]
[train-51/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-51/1000] [acc-0.8350, loss-0.0535] [1225/1467]
[train-52/1000] [acc-1.0000, loss-0.0001] [4442/4442]
[val-52/1000] [acc-0.8357, loss-0.0553] [1226/1467]
[train-53/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-53/1000] [acc-0.8391, loss-0.0497] [1231/1467]
[train-54/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-54/1000] [acc-0.8398, loss-0.0529] [1232/1467]
[train-55/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-55/1000] [acc-0.8344, loss-0.0538] [1224/1467]
[train-56/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-56/1000] [acc-0.8323, loss-0.0561] [1221/1467]
[train-57/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-57/1000] [acc-0.8405, loss-0.0506] [1233/1467]
[train-58/1000] [acc-0.9986, loss-0.0002] [4436/4442]
[val-58/1000] [acc-0.8296, loss-0.0526] [1217/1467]
[train-59/1000] [acc-1.0000, loss-0.0001] [4442/4442]
[val-59/1000] [acc-0.8344, loss-0.0537] [1224/1467]
[train-60/1000] [acc-0.9995, loss-0.0002] [4440/4442]
[val-60/1000] [acc-0.8378, loss-0.0547] [1229/1467]
[train-61/1000] [acc-0.9989, loss-0.0002] [4437/4442]
[val-61/1000] [acc-0.8378, loss-0.0532] [1229/1467]
[train-62/1000] [acc-0.9991, loss-0.0001] [4438/4442]
[val-62/1000] [acc-0.8323, loss-0.0550] [1221/1467]
[train-63/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-63/1000] [acc-0.8357, loss-0.0516] [1226/1467]
[train-64/1000] [acc-0.9989, loss-0.0003] [4437/4442]
[val-64/1000] [acc-0.8296, loss-0.0551] [1217/1467]
[train-65/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-65/1000] [acc-0.8309, loss-0.0543] [1219/1467]
[train-66/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-66/1000] [acc-0.8405, loss-0.0515] [1233/1467]
[train-67/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-67/1000] [acc-0.8269, loss-0.0509] [1213/1467]
[train-68/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-68/1000] [acc-0.8337, loss-0.0552] [1223/1467]
[train-69/1000] [acc-0.9991, loss-0.0002] [4438/4442]
[val-69/1000] [acc-0.8269, loss-0.0539] [1213/1467]
[train-70/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-70/1000] [acc-0.8241, loss-0.0549] [1209/1467]
[train-71/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-71/1000] [acc-0.8357, loss-0.0539] [1226/1467]
[train-72/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-72/1000] [acc-0.8391, loss-0.0532] [1231/1467]
[train-73/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-73/1000] [acc-0.8419, loss-0.0568] [1235/1467]
[train-74/1000] [acc-0.9995, loss-0.0002] [4440/4442]
[val-74/1000] [acc-0.8289, loss-0.0563] [1216/1467]
[train-75/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-75/1000] [acc-0.8350, loss-0.0516] [1225/1467]
[train-76/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-76/1000] [acc-0.8309, loss-0.0570] [1219/1467]
[train-77/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-77/1000] [acc-0.8303, loss-0.0534] [1218/1467]
[train-78/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-78/1000] [acc-0.8391, loss-0.0519] [1231/1467]
[train-79/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-79/1000] [acc-0.8412, loss-0.0528] [1234/1467]
[train-80/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-80/1000] [acc-0.8378, loss-0.0522] [1229/1467]
[train-81/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-81/1000] [acc-0.8330, loss-0.0560] [1222/1467]
[train-82/1000] [acc-1.0000, loss-0.0001] [4442/4442]
[val-82/1000] [acc-0.8337, loss-0.0544] [1223/1467]
[train-83/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-83/1000] [acc-0.8384, loss-0.0538] [1230/1467]
[train-84/1000] [acc-0.9995, loss-0.0002] [4440/4442]
[val-84/1000] [acc-0.8289, loss-0.0533] [1216/1467]
[train-85/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-85/1000] [acc-0.8364, loss-0.0549] [1227/1467]
[train-86/1000] [acc-0.9991, loss-0.0002] [4438/4442]
[val-86/1000] [acc-0.8405, loss-0.0542] [1233/1467]
[train-87/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-87/1000] [acc-0.8350, loss-0.0561] [1225/1467]
[train-88/1000] [acc-0.9995, loss-0.0002] [4440/4442]
[val-88/1000] [acc-0.8289, loss-0.0547] [1216/1467]
[train-89/1000] [acc-0.9989, loss-0.0002] [4437/4442]
[val-89/1000] [acc-0.8405, loss-0.0556] [1233/1467]
[train-90/1000] [acc-0.9995, loss-0.0002] [4440/4442]
[val-90/1000] [acc-0.8398, loss-0.0520] [1232/1467]
[train-91/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-91/1000] [acc-0.8405, loss-0.0526] [1233/1467]
