[train-0/1000] [acc-0.6787, loss-0.0645] [3015/4442]
[val-0/1000] [acc-0.7962, loss-0.0393] [1168/1467]
[train-1/1000] [acc-0.8834, loss-0.0223] [3924/4442]
[val-1/1000] [acc-0.8119, loss-0.0410] [1191/1467]
[train-2/1000] [acc-0.9320, loss-0.0120] [4140/4442]
[val-2/1000] [acc-0.8262, loss-0.0412] [1212/1467]
[train-3/1000] [acc-0.9633, loss-0.0067] [4279/4442]
[val-3/1000] [acc-0.8344, loss-0.0397] [1224/1467]
[train-4/1000] [acc-0.9665, loss-0.0066] [4293/4442]
[val-4/1000] [acc-0.8091, loss-0.0544] [1187/1467]
[train-5/1000] [acc-0.9656, loss-0.0061] [4289/4442]
[val-5/1000] [acc-0.8296, loss-0.0490] [1217/1467]
[train-6/1000] [acc-0.9757, loss-0.0041] [4334/4442]
[val-6/1000] [acc-0.8255, loss-0.0599] [1211/1467]
[train-7/1000] [acc-0.9849, loss-0.0030] [4375/4442]
[val-7/1000] [acc-0.8037, loss-0.0611] [1179/1467]
[train-8/1000] [acc-0.9838, loss-0.0031] [4370/4442]
[val-8/1000] [acc-0.8010, loss-0.0660] [1175/1467]
[train-9/1000] [acc-0.9802, loss-0.0039] [4354/4442]
[val-9/1000] [acc-0.8112, loss-0.0647] [1190/1467]
[train-10/1000] [acc-0.9914, loss-0.0015] [4404/4442]
[val-10/1000] [acc-0.8330, loss-0.0546] [1222/1467]
[train-11/1000] [acc-0.9962, loss-0.0007] [4425/4442]
[val-11/1000] [acc-0.8357, loss-0.0547] [1226/1467]
[train-12/1000] [acc-0.9982, loss-0.0006] [4434/4442]
[val-12/1000] [acc-0.8350, loss-0.0526] [1225/1467]
[train-13/1000] [acc-0.9973, loss-0.0005] [4430/4442]
[val-13/1000] [acc-0.8398, loss-0.0547] [1232/1467]
[train-14/1000] [acc-0.9980, loss-0.0005] [4433/4442]
[val-14/1000] [acc-0.8371, loss-0.0545] [1228/1467]
[train-15/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-15/1000] [acc-0.8364, loss-0.0540] [1227/1467]
[train-16/1000] [acc-0.9982, loss-0.0005] [4434/4442]
[val-16/1000] [acc-0.8344, loss-0.0528] [1224/1467]
[train-17/1000] [acc-0.9986, loss-0.0003] [4436/4442]
[val-17/1000] [acc-0.8309, loss-0.0545] [1219/1467]
